"LEEFTIJDCAT4P","GESLACHT","roker","zware_drinker","obesitas","bewegen_3cat","moeite_rondkomen_2cat","UITSPRAAKBUURT3_CAT","LFT0109","langdurig_ziek_numeriek","ethniciteit_numeriek","gehuwd_numeriek","gescheiden_numeriek","verweduwd_numeriek","nooit_gehuwd_numeriek","beperkt_degelijks_leven_numeriek","ernstig_beperkt_dagelijks_leven_numeriek","niet_beperkt_dagelijks_leven_numeriek","opleiding_hoog_numeriek","opleiding_laag_numeriek","opleiding_middel_numeriek","inkomen_kwint1_numeriek","inkomen_kwint2_numeriek","inkomen_kwint3_numeriek","inkomen_kwint4_numeriek","inkomen_kwint5_numeriek","niet_stedelijk_buurt_numeriek","stedelijk_buurt_numeriek","Freq","perc","MHI5_voorspeld","MHI5_voorspeld_absoluut"
"18-34","Man","Rookt niet","Nee (drinkt minder vaak of niet)","Nee","0 - 4.5 uur","Nee (geen enkele moeite of geen moeite, maar wel opletten op uitgaven)","Neutraal",26.202380952381,0.821428571428571,0.0595238095238095,0.202380952380952,0.0119047619047619,0,0.785714285714286,0.785714285714286,0.202380952380952,0.0119047619047619,0.452380952380952,0.130952380952381,0.416666666666667,0.107142857142857,0.130952380952381,0.130952380952381,0.321428571428571,0.30952380952381,0.678571428571429,0.321428571428571,84,0.00103064955461216,-0.206127417878293,74.4621724155465
"18-34","Man","Rookt niet","Nee (drinkt minder vaak of niet)","Nee","0 - 4.5 uur","Nee (geen enkele moeite of geen moeite, maar wel opletten op uitgaven)","Ja",27.7379032258065,0.82258064516129,0.0846774193548387,0.272177419354839,0.0161290322580645,0,0.711693548387097,0.852822580645161,0.133064516129032,0.0141129032258065,0.485887096774194,0.0887096774193548,0.425403225806452,0.0362903225806452,0.0725806451612903,0.167338709677419,0.334677419354839,0.389112903225806,0.806451612903226,0.193548387096774,496,0.00608574022723369,0.00163308161111403,77.7859244758359
"18-34","Man","Rookt niet","Nee (drinkt minder vaak of niet)","Nee","0 - 4.5 uur","Nee (geen enkele moeite of geen moeite, maar wel opletten op uitgaven)","Nee",27.3333333333333,0.851851851851852,0.0925925925925926,0.277777777777778,0,0,0.722222222222222,0.907407407407407,0.0740740740740741,0.0185185185185185,0.611111111111111,0.0925925925925926,0.296296296296296,0.0740740740740741,0.111111111111111,0.259259259259259,0.388888888888889,0.166666666666667,0.537037037037037,0.462962962962963,54,0.000662560427964958,-0.231180446975341,74.0613741055576
"18-34","Man","Rookt niet","Nee (drinkt minder vaak of niet)","Nee","0 - 4.5 uur","Ja (enige of grote moeite)","Neutraal",28.5,0.875,0,0.125,0,0,0.875,0.75,0.25,0,0.125,0.375,0.5,0.25,0,0.375,0.25,0.125,0.625,0.375,8,9.8157100439253e-05,-0.771980989780605,65.4096480904001
"18-34","Man","Rookt niet","Nee (drinkt minder vaak of niet)","Nee","0 - 4.5 uur","Ja (enige of grote moeite)","Ja",27.4333333333333,0.666666666666667,0.133333333333333,0.333333333333333,0,0,0.666666666666667,0.733333333333333,0.25,0.0166666666666667,0.216666666666667,0.2,0.583333333333333,0.166666666666667,0.116666666666667,0.266666666666667,0.283333333333333,0.166666666666667,0.7,0.3,60,0.000736178253294398,-0.655842943139338,67.2676243310742
"18-34","Man","Rookt niet","Nee (drinkt minder vaak of niet)","Nee","0 - 4.5 uur","Ja (enige of grote moeite)","Nee",26.5384615384615,0.615384615384615,0.0769230769230769,0.230769230769231,0,0,0.769230769230769,0.461538461538462,0.384615384615385,0.153846153846154,0.307692307692308,0.153846153846154,0.538461538461538,0.461538461538462,0.153846153846154,0.230769230769231,0.153846153846154,0,0.538461538461538,0.461538461538462,13,0.000159505288213786,-1.14529486313827,59.4373734821057
"18-34","Man","Rookt niet","Nee (drinkt minder vaak of niet)","Nee","10+ uur","Nee (geen enkele moeite of geen moeite, maar wel opletten op uitgaven)","Neutraal",25.2068965517241,0.931034482758621,0.155172413793103,0.137931034482759,0,0,0.862068965517241,0.896551724137931,0.103448275862069,0,0.53448275862069,0.189655172413793,0.275862068965517,0.0689655172413793,0.0862068965517241,0.275862068965517,0.275862068965517,0.293103448275862,0.448275862068966,0.551724137931034,58,0.000711638978184584,-0.140851602522242,75.5064547806252
"18-34","Man","Rookt niet","Nee (drinkt minder vaak of niet)","Nee","10+ uur","Nee (geen enkele moeite of geen moeite, maar wel opletten op uitgaven)","Ja",26.7584973166369,0.869409660107335,0.125223613595707,0.189624329159213,0.00536672629695885,0,0.805008944543828,0.885509838998211,0.0948121645796064,0.0196779964221825,0.500894454382826,0.148479427549195,0.350626118067979,0.0554561717352415,0.0787119856887299,0.152057245080501,0.323792486583184,0.389982110912343,0.704830053667263,0.295169946332737,559,0.0068587273931928,0.0239156610282324,78.1424011373197
"18-34","Man","Rookt niet","Nee (drinkt minder vaak of niet)","Nee","10+ uur","Nee (geen enkele moeite of geen moeite, maar wel opletten op uitgaven)","Nee",25.26,0.8,0.2,0.14,0,0,0.86,0.8,0.14,0.06,0.36,0.14,0.5,0.18,0.06,0.24,0.28,0.24,0.44,0.56,50,0.000613481877745331,-0.334789666348797,72.4038340187566
"18-34","Man","Rookt niet","Nee (drinkt minder vaak of niet)","Nee","10+ uur","Ja (enige of grote moeite)","Neutraal",26.1538461538462,0.846153846153846,0.384615384615385,0.0769230769230769,0,0,0.923076923076923,0.692307692307692,0.307692307692308,0,0.0769230769230769,0.307692307692308,0.615384615384615,0.307692307692308,0.461538461538462,0.0769230769230769,0,0.153846153846154,0.615384615384615,0.384615384615385,13,0.000159505288213786,-0.866029349049484,63.9050626246595
"18-34","Man","Rookt niet","Nee (drinkt minder vaak of niet)","Nee","10+ uur","Ja (enige of grote moeite)","Ja",26.03,0.76,0.26,0.14,0,0,0.86,0.75,0.21,0.04,0.35,0.27,0.38,0.14,0.16,0.22,0.23,0.25,0.72,0.28,100,0.00122696375549066,-0.66137301139889,67.1791543099855
"18-34","Man","Rookt niet","Nee (drinkt minder vaak of niet)","Nee","10+ uur","Ja (enige of grote moeite)","Nee",25.5714285714286,0.80952380952381,0.19047619047619,0.142857142857143,0,0,0.857142857142857,0.761904761904762,0.238095238095238,0,0.380952380952381,0.19047619047619,0.428571428571429,0.238095238095238,0.285714285714286,0.238095238095238,0.0952380952380952,0.142857142857143,0.523809523809524,0.476190476190476,21,0.000257662388653039,-0.866604304308419,63.8958644915632
"18-34","Man","Rookt niet","Nee (drinkt minder vaak of niet)","Nee","4.5 - 10 uur","Nee (geen enkele moeite of geen moeite, maar wel opletten op uitgaven)","Neutraal",26.3870967741935,0.919354838709677,0.0806451612903226,0.129032258064516,0,0,0.870967741935484,0.935483870967742,0.0645161290322581,0,0.5,0.112903225806452,0.387096774193548,0.0967741935483871,0.0967741935483871,0.145161290322581,0.370967741935484,0.290322580645161,0.596774193548387,0.403225806451613,62,0.000760717528404211,-0.10067780438305,76.1491551238712
"18-34","Man","Rookt niet","Nee (drinkt minder vaak of niet)","Nee","4.5 - 10 uur","Nee (geen enkele moeite of geen moeite, maar wel opletten op uitgaven)","Ja",27.4536082474227,0.861855670103093,0.0989690721649484,0.216494845360825,0.00412371134020619,0,0.779381443298969,0.876288659793814,0.109278350515464,0.0144329896907217,0.581443298969072,0.0762886597938144,0.342268041237113,0.0474226804123711,0.0639175257731959,0.14639175257732,0.301030927835052,0.441237113402062,0.74020618556701,0.25979381443299,485,0.00595077421412971,0.0447389895156182,78.4755327053133
"18-34","Man","Rookt niet","Nee (drinkt minder vaak of niet)","Nee","4.5 - 10 uur","Nee (geen enkele moeite of geen moeite, maar wel opletten op uitgaven)","Nee",26.169014084507,0.873239436619718,0.0704225352112676,0.112676056338028,0,0,0.887323943661972,0.915492957746479,0.0704225352112676,0.0140845070422535,0.605633802816901,0.0985915492957746,0.295774647887324,0.140845070422535,0.0704225352112676,0.183098591549296,0.211267605633803,0.394366197183099,0.464788732394366,0.535211267605634,71,0.000871144266398371,-0.213503850598966,74.3441642594572
"18-34","Man","Rookt niet","Nee (drinkt minder vaak of niet)","Nee","4.5 - 10 uur","Ja (enige of grote moeite)","Neutraal",24.5555555555556,1,0,0.111111111111111,0,0,0.888888888888889,0.888888888888889,0.111111111111111,0,0.333333333333333,0,0.666666666666667,0.111111111111111,0.111111111111111,0.222222222222222,0.222222222222222,0.333333333333333,0.777777777777778,0.222222222222222,9,0.00011042673799416,-0.629561957421616,67.6880674886541
"18-34","Man","Rookt niet","Nee (drinkt minder vaak of niet)","Nee","4.5 - 10 uur","Ja (enige of grote moeite)","Ja",26.4915254237288,0.796610169491525,0.169491525423729,0.254237288135593,0.0338983050847458,0,0.711864406779661,0.76271186440678,0.169491525423729,0.0677966101694915,0.474576271186441,0.220338983050847,0.305084745762712,0.23728813559322,0.152542372881356,0.135593220338983,0.254237288135593,0.220338983050847,0.677966101694915,0.322033898305085,59,0.000723908615739491,-0.632951847278878,67.6338360374162
"18-34","Man","Rookt niet","Nee (drinkt minder vaak of niet)","Nee","4.5 - 10 uur","Ja (enige of grote moeite)","Nee",27.0769230769231,0.692307692307692,0.0769230769230769,0.230769230769231,0,0,0.769230769230769,0.692307692307692,0.307692307692308,0,0.538461538461538,0.0769230769230769,0.384615384615385,0.230769230769231,0.307692307692308,0.230769230769231,0.0769230769230769,0.153846153846154,0.538461538461538,0.461538461538462,13,0.000159505288213786,-0.860478464744601,63.9938656608003
"18-34","Man","Rookt niet","Nee (drinkt minder vaak of niet)","Ja","0 - 4.5 uur","Nee (geen enkele moeite of geen moeite, maar wel opletten op uitgaven)","Neutraal",27.25,0.75,0,0.25,0,0,0.75,0.75,0.25,0,0.25,0,0.75,0,0,0.5,0.25,0.25,0.5,0.5,4,4.90785502196265e-05,-0.33199536157256,72.4485373010451
"18-34","Man","Rookt niet","Nee (drinkt minder vaak of niet)","Ja","0 - 4.5 uur","Nee (geen enkele moeite of geen moeite, maar wel opletten op uitgaven)","Ja",28.5111111111111,0.844444444444444,0.0666666666666667,0.355555555555556,0,0,0.644444444444444,0.755555555555556,0.2,0.0444444444444444,0.422222222222222,0.0888888888888889,0.488888888888889,0.0444444444444444,0.0888888888888889,0.2,0.377777777777778,0.288888888888889,0.755555555555556,0.244444444444444,45,0.000552133689970798,-0.189447190218007,74.729022664695
"18-34","Man","Rookt niet","Nee (drinkt minder vaak of niet)","Ja","0 - 4.5 uur","Nee (geen enkele moeite of geen moeite, maar wel opletten op uitgaven)","Nee",28.5,0.7,0.1,0.3,0,0,0.7,0.8,0.2,0,0.6,0,0.4,0,0.1,0.3,0.5,0.1,0.6,0.4,10,0.000122696375549066,-0.391914466972702,71.4899515712559
